File, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.82 T=0.0165410041809082 s"
/home/felix/Projects/funky/funky-rosetta//3d-rendering/src/host/3d_rendering_host.cpp, 0, 0, 0, 0, 44, 0, 0, 0, 133, 3, 1, 1, 
/home/felix/Projects/funky/funky-rosetta//3d-rendering/src/host/check_result.cpp, 0, 0, 0, 0, 10, 1, 1, 0, 54, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//3d-rendering/src/host/utils.cpp, 0, 0, 0, 0, 7, 0, 0, 0, 29, 2, 0, 16, 
/home/felix/Projects/funky/funky-rosetta//3d-rendering/src/host/typedefs.h, 0, 0, 0, 0, 20, 0, 0, 1, 57, 1, 0, 1, 
/home/felix/Projects/funky/funky-rosetta//3d-rendering/src/host/input_data.h, 2, 0, 0, 0, 7, 0, 0, 0, 3195, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//3d-rendering/src/host/utils.h, 0, 0, 0, 0, 7, 0, 0, 0, 4, 1, 0, 1, 
/home/felix/Projects/funky/funky-rosetta//3d-rendering/src/host/check_result.h, 1, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_array_partition/src/host.cpp, 0, 0, 0, 0, 32, 2, 0, 0, 201, 1, 2, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_burst_rw/src/host.cpp, 0, 0, 0, 0, 28, 2, 0, 0, 111, 1, 2, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_dataflow_func/src/host.cpp, 0, 0, 0, 0, 27, 2, 0, 0, 115, 1, 2, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_dataflow_subfunc/src/host.cpp, 0, 0, 0, 0, 27, 2, 0, 0, 115, 1, 2, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_gmem_2banks/src/host.cpp, 0, 0, 0, 0, 62, 2, 0, 0, 130, 3, 2, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_helloworld/src/host.cpp, 0, 0, 0, 0, 34, 2, 0, 0, 114, 1, 2, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_lmem_2rw/src/host.cpp, 0, 0, 0, 0, 29, 2, 0, 0, 116, 1, 2, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_loop_reorder/src/host.cpp, 0, 0, 0, 0, 38, 2, 0, 0, 135, 1, 2, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_partition_cyclicblock/src/host.cpp, 0, 0, 0, 0, 38, 2, 0, 0, 195, 1, 2, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_shift_register/src/host.cpp, 0, 0, 2, 0, 38, 0, 10, 2, 202, 1, 3, 1, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_systolic_array/src/host.cpp, 0, 0, 0, 0, 38, 2, 0, 0, 140, 2, 2, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_wide_mem_rw_2x/src/host.cpp, 0, 0, 0, 0, 51, 2, 0, 0, 192, 1, 2, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_wide_mem_rw_4x/src/host.cpp, 0, 0, 0, 0, 54, 2, 0, 0, 192, 1, 2, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_wide_mem_rw/src/host.cpp, 0, 0, 0, 0, 32, 2, 0, 0, 117, 1, 2, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/cl_wide_mem_rw_strm/src/host.cpp, 0, 0, 0, 0, 33, 2, 0, 1, 115, 2, 2, 0, 
/home/felix/Projects/funky/funky-rosetta//digit-recognition/src/host/training_data.h, 0, 0, 0, 0, 7, 0, 0, 0, 5, 10, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//digit-recognition/src/host/check_result.h, 2, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//digit-recognition/src/host/utils.cpp, 0, 0, 0, 0, 7, 0, 0, 0, 29, 2, 0, 16, 
/home/felix/Projects/funky/funky-rosetta//digit-recognition/src/host/testing_data.h, 0, 0, 0, 0, 7, 0, 2, 0, 7, 2, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//digit-recognition/src/host/typedefs.h, 0, 0, 0, 0, 14, 0, 0, 1, 18, 1, 0, 1, 
/home/felix/Projects/funky/funky-rosetta//digit-recognition/src/host/digit_recognition.cpp, 0, 0, 1, 0, 51, 0, 0, 0, 141, 2, 1, 1, 
/home/felix/Projects/funky/funky-rosetta//digit-recognition/src/host/check_result.cpp, 6, 0, 0, 0, 13, 0, 0, 0, 24, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//digit-recognition/src/host/utils.h, 0, 0, 0, 0, 7, 0, 0, 0, 4, 1, 0, 1, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/../common/includes/logger/logger.h, 14, 0, 0, 0, 21, 0, 0, 0, 35, 0, 0, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/../common/includes/xcl2/xcl2.cpp, 0, 0, 3, 0, 16, 1, 40, 0, 92, 4, 1, 55, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/../common/includes/bitmap/bitmap.cpp, 0, 0, 1, 0, 19, 0, 3, 0, 62, 5, 3, 16, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/../common/includes/cmdparser/cmdlineparser.cpp, 0, 0, 0, 1, 36, 0, 0, 0, 251, 1, 0, 5, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/../common/includes/logger/logger.cpp, 0, 0, 0, 0, 28, 0, 2, 0, 123, 2, 0, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/../common/includes/bitmap/bitmap.h, 9, 0, 0, 0, 17, 0, 0, 0, 27, 0, 0, 0, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/../common/includes/cmdparser/cmdlineparser.h, 0, 0, 0, 1, 42, 0, 0, 0, 49, 0, 0, 1, 
/home/felix/Projects/vitis-accel-examples/ocl_kernels/../common/includes/xcl2/xcl2.hpp, 0, 0, 2, 0, 29, 1, 42, 0, 57, 1, 0, 20, 
language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.82  T=0.01 s (615.8 files/s, 87849.6 lines/s)"
C++,/home/felix/Projects/proteus/funky-unikernel/funky-scripts/evaluation/../../examples/Rosetta/harness/CLWorld.cpp,78,80,284
C/C++ Header,/home/felix/Projects/proteus/funky-unikernel/funky-scripts/evaluation/../../examples/Rosetta/harness/CLWorld.h,37,35,58
C/C++ Header,/home/felix/Projects/proteus/funky-unikernel/funky-scripts/evaluation/../../examples/Rosetta/harness/CLKernel.h,21,19,53
C++,/home/felix/Projects/proteus/funky-unikernel/funky-scripts/evaluation/../../examples/Rosetta/harness/CLKernel.cpp,12,11,44
C++,/home/felix/Projects/proteus/funky-unikernel/funky-scripts/evaluation/../../examples/Rosetta/harness/CLMemObj.cpp,11,26,27
C/C++ Header,/home/felix/Projects/proteus/funky-unikernel/funky-scripts/evaluation/../../examples/Rosetta/harness/CLMemObj.h,11,23,26
SUM,,170,194,492
code changes for Funky
File, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.82 T=0.0334389209747314 s"
/home/felix/Projects/funky/funky-rosetta//harness/ocl_src/CLKernel.h, 21, 0, 0, 0, 19, 0, 0, 0, 53, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//harness/ocl_src/CLMemObj.cpp, 0, 0, 2, 0, 15, 0, 11, 0, 22, 5, 0, 6, 
/home/felix/Projects/funky/funky-rosetta//harness/ocl_src/CLWorld.h, 37, 0, 0, 0, 35, 0, 0, 0, 58, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//harness/ocl_src/CLWorld.cpp, 0, 0, 0, 2, 62, 0, 18, 0, 279, 2, 3, 12, 
/home/felix/Projects/funky/funky-rosetta//harness/ocl_src/CLKernel.cpp, 12, 0, 0, 0, 11, 0, 0, 0, 44, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//harness/ocl_src/CLMemObj.h, 0, 0, 0, 0, 19, 0, 4, 0, 23, 3, 0, 1, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/RefCntMem.cpp, 11, 0, 0, 0, 22, 0, 0, 0, 75, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/Convolve.h, 4, 0, 0, 0, 46, 0, 0, 0, 12, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/typedefs.h, 0, 0, 0, 0, 11, 0, 0, 1, 38, 2, 0, 1, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/Image.cpp, 23, 0, 0, 0, 35, 0, 0, 0, 112, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/flowIO.cpp, 0, 0, 4, 0, 46, 0, 24, 0, 64, 8, 8, 6, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/imageLib.h, 2, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/ImageIO.cpp, 0, 0, 11, 0, 103, 0, 41, 0, 423, 23, 15, 5, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/Copyright.h, 17, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/Convert.h, 10, 0, 0, 0, 53, 0, 0, 0, 65, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/flowIO.h, 0, 0, 0, 0, 7, 0, 3, 0, 5, 1, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/check_result.h, 0, 0, 0, 0, 7, 0, 1, 0, 10, 1, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/ImageIO.h, 0, 0, 0, 0, 32, 0, 1, 0, 3, 1, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/Error.h, 3, 0, 0, 0, 12, 0, 0, 0, 14, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/Convolve.cpp, 27, 0, 0, 0, 49, 0, 0, 0, 186, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/optical_flow_host.cpp, 0, 0, 0, 0, 51, 0, 1, 0, 152, 4, 4, 1, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/Convert.cpp, 21, 0, 0, 0, 69, 0, 0, 0, 91, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/RefCntMem.h, 4, 0, 0, 0, 24, 0, 0, 0, 25, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/utils.cpp, 0, 0, 0, 0, 7, 0, 0, 0, 64, 2, 0, 16, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/check_result.cpp, 0, 0, 0, 0, 15, 0, 1, 0, 71, 1, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/imageLib/Image.h, 50, 0, 0, 0, 49, 0, 0, 0, 155, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//optical-flow/src/host/utils.h, 0, 0, 0, 0, 7, 0, 0, 0, 11, 1, 0, 1, 
/home/felix/Projects/funky/funky-rosetta//spam-filter/src/host/spam_filter.cpp, 0, 0, 2, 0, 56, 0, 24, 0, 169, 16, 2, 11, 
/home/felix/Projects/funky/funky-rosetta//spam-filter/src/host/utils.cpp, 0, 0, 0, 0, 7, 0, 0, 0, 55, 2, 0, 16, 
/home/felix/Projects/funky/funky-rosetta//spam-filter/src/host/check_result.cpp, 19, 0, 0, 0, 28, 0, 0, 0, 109, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//spam-filter/src/host/utils.h, 0, 0, 0, 0, 7, 0, 0, 0, 9, 1, 0, 1, 
/home/felix/Projects/funky/funky-rosetta//spam-filter/src/host/check_result.h, 2, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 
/home/felix/Projects/funky/funky-rosetta//spam-filter/src/host/typedefs.h, 0, 0, 0, 0, 21, 0, 0, 1, 49, 4, 0, 1, 
